0.0668306,27.1411,37.5,
0.15919,27.1399,37.5,
0.234952,27.1684,37.5,
0.310806,27.2198,37.5,
0.386601,27.2948,37.5,
0.462417,27.3773,37.5,
0.538238,27.4784,37.5,
0.614024,27.5748,37.5,
0.689856,27.7095,37.5,
0.765713,27.8375,37.5,
0.84152,27.9704,37.5,
0.917385,28.11,37.5,
0.993208,28.2588,37.5,
1.06912,28.4081,37.5,
1.14494,28.5622,37.5,
1.22094,28.721,37.5,
1.29671,28.8794,37.5,
1.37247,29.0149,37.5,
1.44888,29.2039,37.5,
1.52485,29.3748,37.5,
1.60075,29.5453,37.5,
1.67669,29.7173,37.5,
1.7526,29.8869,37.5,
1.82849,30.0596,37.5,

